"conversation_id","fecha","producto","canal","tiempo_total_seg","tiempo_primera_respuesta_seg","resultado_final","escalo","motivo_escalamiento","intencion_principal","intencion_secundaria","emocion_inicial","emocion_final","nivel_frustracion","riesgo_churn","workflow_utilizado","nodo_inicial","nodo_final","atributos_detectados","pautas_utilizadas","pautas_que_debieron_activarse","articulos_kb_utilizados","articulos_que_debieron_utilizarse","preguntas_realizadas","numero_intentos_usuario","calidad_diagnostico","error_principal_fin","causa_raiz","que_habria_hecho_agente_experto","nueva_pauta_sugerida","ajuste_pauta_existente","nuevo_atributo_sugerido","articulo_conocimiento_faltante","prompt_susceptible_mejora","severidad_problema","confianza_analisis"
"215474859325975","2026-06-26 16:43 UTC","Restobar","Chat Intercom","","205","Escalado — Agente humano resolvió (anulación guiada)","true","Usuario solicitó agente humano explícitamente en msgs 5 y 7; FIN demoró respuesta","Anular factura POS","Contactar agente humano","Negativa","Neutral","60","15","Restobar IA","Diagnóstico previo","Escalamiento humano","Anulación de POS|IACR Riesgo Operativo|Urgency Baja|Emociones Negative","635548 Diagnóstico previo|657943 Resumen|657944 Activación contexto crítico|805165 Detección emocional|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Eliminación ruido|881687 Prevención frustración|883970 Claridad progresiva|884013 Personalidad|884026 Obtención contexto|884123 Escalamiento humano|884168 Contención espera","628310 Escalamiento por persistencia al 2do pedido de agente","Cómo anular una factura de venta en Restobar (paso a paso)","","5","3","55","Demoró el escalamiento tras 2 solicitudes explícitas de agente humano, haciendo preguntas adicionales primero","Pauta de escalamiento por solicitud directa no se activó suficientemente rápido ante pedidos repetidos","Escalar inmediatamente al 2do pedido explícito, confirmando número de factura en paralelo","Si el usuario pide agente 2 veces en menos de 3 mensajes, escalar sin hacer más preguntas","884123: reducir umbral de escalamiento a 2 pedidos explícitos","escalamiento_explicito_doble (boolean)","","Nodo de recolección de contexto: desactivar cuando user ya pidió agente 2 veces","3","85"
"215474858858915","2026-06-26 16:09 UTC","Restobar","Chat Intercom","","85","Resuelto por agente humano (habilitación FE completa)","true","Usuario pidió agente inmediatamente y no quiso dar detalles","Habilitar facturación electrónica","Contactar agente humano directamente","Neutral","Positiva","25","10","Restobar IA","Obtención contexto","Escalamiento humano","Habilitar facturación electrónica|Tipo chat Asesoría|Urgency Baja","884013 Personalidad|884026 Obtención contexto|884123 Escalamiento humano|884168 Contención espera","","","Habilitación de Facturación Electrónica en Restobar Loggro (Guía Paso a Paso) — como contexto al escalar","2","1","50","No envió artículo de pre-requisitos al agente ni al usuario antes de escalar; agente tuvo que construir contexto desde cero","Sin artículo cargado en contexto de FE; FIN escaló limpiamente pero sin contexto","Preguntar si ya tiene resolución DIAN antes de escalar y enviar checklist al usuario","Al escalar por solicitud directa, incluir resumen de tema detectado y artículo KB relevante en nota interna","884123: añadir lógica de nota interna con contexto al escalar","","Checklist de pre-requisitos para habilitación FE (resolución DIAN, NIT, usuario administrador)","Nodo de escalamiento: añadir lógica para incluir nota con artículo KB detectado","2","80"
"215474857557649","2026-06-26 14:16 UTC","Restobar","Chat Intercom","6494","222","Escalado a área comercial (activación módulo Pymes pendiente)","true","Problema de integración Pymes-Restobar requirió área especializada","Resolver error al emitir factura electrónica","Contactar agente humano","Neutral","Frustrada","45","20","Restobar IA","Diagnóstico","Escalamiento humano","Error de facturación|IACR Usuario Básico|Urgency Baja|Fuera de horario","657943 Resumen|805165 Emocional|878262 Reducción ruido|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884123 Escalamiento humano","635548 Diagnóstico previo para detectar conflicto Pymes/Restobar más rápido","Cómo configurar la información de la factura o comprobante en el sistema","Cómo verificar sincronización facturas Restobar-Pymes|Cómo identificar errores DIAN","3","2","30","Artículo irrelevante enviado (configuración de factura en lugar de troubleshooting de error); no detectó señal de integración Pymes","FIN interpretó configuración de facturación como intención de configurar, no de resolver error","Preguntar qué error exacto aparece antes de enviar artículo; detectar ícono X DIAN como señal de integración Pymes","Si usuario menciona ícono X o error visual en facturas, priorizar artículo de errores DIAN sobre artículo de configuración","635548 Diagnóstico previo: incluir pregunta sobre mensaje de error específico como primer paso","error_visual_dian (boolean)","Diagnóstico diferencial: error DIAN vs configuración vs módulo Pymes no activado","Selección de artículo KB: priorizar por síntoma reportado vs URL de página actual","3","80"
"215474856338404","2026-06-26 12:59 UTC","Restobar","Chat Intercom","2985","192","Resuelto — comanda no estaba abierta; solución: abrir y minimizar app diariamente","true","Usuario solicitó agente después de ver artículos","Recuperar opción imprimir en comanda","","Neutral","Positiva","35","10","Restobar IA","Diagnóstico saludo","Escalamiento humano","Opción Imprimir|IACR Usuario Básico|Urgency Baja|Validación Parcial","657943 Resumen|657944 Activación contexto|805165 Emocional|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884026 Contexto|884123 Escalamiento|884144 Diagnóstico saludo|884168 Contención","","Cómo imprimir una factura de venta en Restobar|Cómo instalar y configurar la Comanda Automática en Restobar en Windows","Artículo específico sobre comanda app debe estar abierta y minimizada","4","2","45","No preguntó si la aplicación de comanda está abierta como primer paso diagnóstico","FIN fue a permisos de usuario y artículos de instalación sin verificar prerequisito básico (app corriendo)","Preguntar primero: ¿Está la aplicación de comanda abierta en el equipo donde intenta imprimir?","Para problemas de impresión de comanda, verificar primero que la app esté corriendo antes de ir a permisos o configuración","635548 Diagnóstico previo: añadir checklist de estado de aplicación antes de permisos","app_comanda_activa (boolean)","Comanda no muestra opción imprimir: verificar que la aplicación esté abierta y minimizada","Árbol diagnóstico de comanda: agregar nodo ¿app corriendo? como primer paso","2","85"
"215474856178695","2026-06-26 12:49 UTC","Restobar","Chat Intercom","4254","1751","Sin resolver — usuario rechazó instalación de app remota; rating 2","true","Problema persiste después de múltiples intentos de diagnóstico","Resolver problema de impresión de comanda","","Negativa","Muy negativa","65","35","Restobar IA","Diagnóstico saludo","Escalamiento humano","Problema comandas|IACR Cambio de Intención|Validación Parcial|Fuera de alcance","628279 Resolución progresiva|628310 Escalamiento persistencia|635546 Diagnóstico|635548 Diagnóstico previo|657943 Resumen|657944 Contexto crítico|675465 Escalamiento fallido|805165 Emocional|878262 Reducción ruido|878283 Continuidad|880386 Adaptación|881675 Ruido|881684 Aclara error|881687 Prevención frustración|883970 Claridad|884013 Personalidad|884026 Contexto|884062 KB|884123 Escalamiento|884144 Diagnóstico saludo|884168 Contención","628310 Escalamiento persistencia debió activarse más rápido (ttfa=1751s inaceptable)","Restobar funciona sin internet|La comanda no imprime: Guía paso a paso","","8","5","30","Pasó demasiadas rondas interrogando sobre suscripción ya confirmada pagada; ttfa=1751s (29 min) inaceptable","Hipótesis de suscripción fijada sin actualizar tras confirmación del usuario; IACR Cambio de Intención indica que FIN perdió el hilo","Escalar al 2do mensaje después de que usuario confirmó suscripción activa; problema técnico de impresora requería diagnóstico presencial","Si usuario confirma que suscripción está activa y problema persiste, cerrar hipótesis de suscripción y pasar a diagnóstico de hardware/impresora","628310 Escalamiento persistencia: añadir condición de timeout (máx 15 min o 6 turnos sin resolución)","hipotesis_agotada (boolean)","","Lógica de hipótesis: marcar hipótesis como descartada cuando usuario la niega explícitamente; no volver a ella","3","90"
"215474856959210","2026-06-26 13:28 UTC","Restobar","Chat Intercom","2255","107","Parcialmente resuelto — resolución asociada desde backend por agente","true","Solución requería acción de backend inaccesible para usuario","Vincular resolución de facturación electrónica","","Neutral","Neutral","20","10","Restobar IA","Obtención contexto","Escalamiento humano","Vincular facturación electrónica|IACR Usuario Básico|Urgency Baja|Correctamente Validado","805165 Emocional|834370 Restricción Pymes|878262 Reducción ruido|878286 Precisión|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884026 Contexto|884123 Escalamiento|884168 Contención","","Habilitación de Facturación Electrónica en Restobar Loggro (Guía Paso a Paso)|Cómo actualizar la resolución de Facturación Electrónica en Restobar","","3","1","70","Ninguno significativo — FIN funcionó correctamente","Error de backend (asociación del lado de Loggro) no resoluble con instrucciones al usuario","Idéntico a lo que hizo FIN","","","requiere_backend_loggro (boolean)","Error: Loggro no encuentra la resolución — requiere asociación desde panel admin","","2","85"
"215474852663874","2026-06-26 04:36 UTC","Restobar","Chat Intercom","1802","518","Sin resolver definitivamente — duplicado identificado pero no anulado con certeza","true","Problema operativo crítico (cuadre de caja con faltante) requirió agente","Resolver duplicación de factura que genera faltante en caja","","Negativa","Muy negativa","70","30","Restobar IA","Diagnóstico","KB","Duplicación facturación|IACR Riesgo Operativo|Emociones Negative","635585 Optimización preguntas|657943 Resumen|731462 Novedad sincronización|805165 Emocional|834370 Restricción Pymes|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|881679 Claridad|881687 Frustración|883970 Claridad|884013 Personalidad|884062 KB","884123 Escalamiento humano más temprano|884168 Contención espera","Restobar funciona sin internet|Cómo anular una factura de venta|Cómo identificar errores DIAN|Cómo revisar cuadre de caja","","7","4","40","Repitió explicación de sincronización 3 veces sin profundizar ni escalar; ignoró señal de riesgo operativo (faltante real de caja)","Pauta 731462 de sincronización aplicada mecánicamente sin detectar que usuario ya entendía la explicación","Al 2do turno donde usuario confirma cuadre de caja con faltante, escalar inmediatamente marcando como riesgo operativo urgente","Si usuario reporta cuadre de caja con faltante confirmado, escalar inmediatamente sin repetir explicación de sincronización más de 1 vez","731462 Novedad sincronización: añadir condición de no reiterar si usuario ya recibió la explicación","cuadre_caja_con_faltante (boolean)","","Detección de loops: si FIN envía el mismo artículo/explicación 2+ veces sin resolución, escalar automáticamente","4","85"
"215474852314144","2026-06-26 03:10 UTC","Restobar","Chat Intercom","3572","1246","Escalado a implementación — usuario derivado a curso de capacitación","true","Usuario nuevo en primer día; necesitaba capacitación, no solo soporte","Eliminar ventas del día (primer día de uso)","Entender el sistema (usuario totalmente nuevo)","Negativa","Neutral","40","15","Restobar IA","Diagnóstico","Escalamiento humano","Borrado de ventas|IACR Riesgo Operativo|Emociones Negative|Correctamente Validado","628240 Ajuste dinámico|657943 Resumen|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884062 KB|884123 Escalamiento|884168 Contención","Detección de usuario nuevo en primer día → derivar a implementación antes de resolver técnicamente","Cómo eliminar facturas POS|Guía app móvil Vender|Cómo realizar cierre de caja|Cómo eliminar pedidos|Cómo reabrir caja|Lo Nuevo de Restobar Julio 2025|Cómo revisar cuadre de caja","","6","3","65","No detectó señal de usuario nuevo/primer día para derivar a implementación de forma proactiva; ttfa=1246s alto","FIN trató el caso como soporte técnico estándar sin identificar necesidad de onboarding","Al detectar primer día y preguntas básicas de flujo completo, sugerir inscripción al curso de onboarding antes de resolver técnicamente","Si usuario menciona que es su primer día o no sabe usar el sistema, sugerir capacitación de implementación como alternativa al soporte técnico","635548 Diagnóstico previo: incluir pregunta sobre tiempo usando el sistema","usuario_primera_vez (boolean)","Guía de inicio rápido para nuevos usuarios de Restobar","Detección de nivel de usuario: incluir señales de novedad (primer día, no sé cómo, qué es esto)","3","80"
"215474852189640","2026-06-26 02:37 UTC","Restobar","Chat Intercom","3018","218","Parcialmente resuelto — agente guió pero sin confirmación final","true","Emergencia operativa (no puede cerrar caja por ícono de nube/sincronización)","Cerrar caja (bloqueada por problema de sincronización)","","Negativa","Neutral","50","20","Restobar IA","Priorización impacto operativo","Escalamiento humano","Cierre de caja|Ícono nube sincronización|Emergencia operativa","731462 Novedad sincronización|884108 Priorización impacto operativo","884013 Personalidad|884026 Obtención contexto|884168 Contención espera","","Qué significa el ícono de nube en Restobar|Cómo limpiar caché en Restobar","2","1","40","Escaló sin ofrecer pasos de autoayuda básicos (limpiar caché) que podrían resolver el problema en 2 minutos; no usó ningún artículo","Pauta 884108 de impacto operativo dispara escalamiento inmediato sin intentar self-service de primer nivel","Pedir limpiar caché primero (30 segundos), luego escalar si no resuelve","Para ícono de nube bloqueando caja: ofrecer limpieza de caché como primer paso antes de escalar","884108 Priorización impacto operativo: distinguir entre emergencias que requieren backend vs que tienen self-service de primer nivel","icono_nube_sincronizacion (boolean)","Ícono de nube en Restobar: qué significa y cómo resolverlo (limpiar caché)","Nodo de emergencia operativa: añadir sub-árbol de self-service rápido antes del escalamiento","4","80"
"215474852096262","2026-06-26 02:12 UTC","Restobar","Chat Intercom","3277","2324","Resuelto — agente respondió sobre desechables como producto sin INC","true","Usuario solicitó agente después de 4 temas; pregunta sobre desechables fuera del KB de FIN","Modificar costo de producción de productos","Cómo cobrar desechables en pedidos para llevar","Neutral","Positiva","20","10","Restobar IA","Diagnóstico Técnico Sin Contexto","Escalamiento humano","Modificar costo producción|IACR Usuario Básico|Urgency Baja","628289 Resolución autónoma|657943 Resumen|805165 Emocional|878262 Reducción|878283 Continuidad|878286 Precisión|880386 Adaptación|881675 Ruido|883970 Claridad|884013 Personalidad|884062 KB|884123 Escalamiento|884168 Contención","","Cómo crear/editar ingrediente|Cómo hacer ajuste inventario|Cómo crear/editar receta|Cómo crear órdenes producción|Cómo crear combo|Cómo crear productos con ingredientes|Guía módulo Productos app móvil","Artículo sobre configuración de impuesto INC para desechables y takeout","6","1","70","FIN no tenía conocimiento sobre cómo cobrar desechables (no en KB); ttfa=2324s (38 min) muy alto","Sesión multi-tema extensa; FIN manejó bien todos los temas menos el último (desechables) que no estaba en KB","Igual a FIN más conocimiento de desechables como producto sin INC","","","","Cómo cobrar desechables o empaques en pedidos para llevar (sin impuesto INC)","","2","80"
